Country Code,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AZE,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006035.91566,8792365810.5094,446305555.555556,1570000000.0,1193312101.91083,2417355840.03625,3176333837.03359,3962238113.16021,4446368570.6901,4581432038.83495,5272798390.70183,5707720390.8515,6235856819.58445,7276753894.71541,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42693000000.0,54622176470.5882
BDI,Burundi,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.962963,165444571.428571,178297142.857143,183200000.0,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.623188,547535555.555556,610225555.555556,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.46477,987143931.166987,1149979285.77347,1201725497.06578,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135246.50004,2235820867.82743,2333341374.89657,2451606684.31708,2705783272.07443,3104003611.42957,2639321196.46528,2712324087.2789,2660123624.27729,2581268125.78917,2780510624.64184,2902029385.82592
BEL,Belgium,11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26706196046.7931,29821661869.912,37209418018.5134,47743801490.3747,56033077879.0389,65678189097.2908,71113882967.6071,82839905458.6382,101246526194.441,116315456796.918,126829314388.191,104730018470.23,92095926187.5331,87184239053.2544,83349530159.1734,86268264148.3796,120018787249.413,149394404105.889,162299103675.261,164221056511.057,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258245733221.468,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543347368038.353,535376258146.666,521676942134.632,599879025377.51
BEN,Benin,226195579.35701,235668222.429984,236434906.75427,253927646.475909,269818988.259263,289908720.648622,302925280.773564,306222000.407316,326323097.355964,330748211.459737,333627758.154666,335072975.215766,410331900.950531,504376035.716401,554654786.965107,676870140.341529,698408244.385343,750049739.152238,928843304.783965,1186231265.18417,1405251547.23882,1291119965.11262,1267778489.03079,1095348302.91865,1051133927.00009,1045712703.02696,1336102040.71025,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075932.35432,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,3677394291.51516,3519991326.48464,3666222600.09828,4194342849.46574,5349258334.31914,6190270756.13743,6567654493.50831,7034111651.4964,8169048690.05254,9787735426.00897,9738626993.27696,9535344283.47295,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.4764,14391686632.7821,15651545331.5404,17785640079.1191
BFA,Burkina Faso,330442817.168859,350247237.11684,379567023.340308,394040588.303477,410321618.17137,422916848.424208,433889831.584706,450753993.176448,460442678.217048,478298597.556707,458404330.125096,482411103.787272,578595583.975723,674773518.411839,751133330.591384,939972703.463021,976547163.53387,1131224818.33053,1475583383.37265,1748480982.18517,1928719477.41287,1775842026.4121,1754449845.3012,1600278756.43589,1459880018.54646,1552493068.4254,2036303381.20142,2369834650.08921,2616040645.87263,2615587725.77391,3101300641.87512,3135045684.1006,3356692517.86417,3199536227.94818,1895290623.44033,2379518099.2266,2586550747.09844,2447668984.53131,2804902248.28537,3389566982.51573,2968369991.46729,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775,19737615114.3661
BGD,Bangladesh,4274893913.49536,4817580183.60155,5081413339.78635,5319458351.16235,5386054619.34987,5906636557.00092,6439687598.32325,7253575399.3215,7483685473.51275,8471006100.95399,8992721809.39332,8751842839.79658,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000.0,22278423076.9231,21774033333.3333,24298032258.0645,26579005760.2634,28781714763.8909,31598341233.463,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,265236247989.155,293754646182.389,321379023557.462,351238438542.792,373902134700.41,416264942893.326
BGR,Bulgaria,,,,,,,,,,,,,,,,,,,,,19839230769.2308,19870000000.0,19342000000.0,16563666666.6667,17594944444.4444,17155421052.6316,20249294117.6471,28101000000.0,22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,18983303571.4286,12294221472.7375,11315986087.1633,15030695296.5235,13627323284.5405,13245833843.5454,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50682061053.2016,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324,80271119426.1076
BHR,Bahrain,,,,,,,,,,,,,,,,,,,,,3072698328.46909,3467819148.93617,3645744680.85106,3735106382.97872,3905585106.38298,3651861702.12766,3052393617.02128,3392021010.6383,3702393617.02128,3863563829.78723,4229787234.04255,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000.0,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
BHS,"Bahamas, The",169803921.568627,190098039.215686,212254901.960784,237745098.039216,266666666.666667,300392156.862745,340000000.0,390196078.431373,444901960.784314,528137254.901961,538423153.692615,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11861900000.0,11834600000.0,12357600000.0,12755800000.0,13192800000.0,9699500000.0,11208600000.0
BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.1358,1866572953.73665,2786045321.63743,3671816504.23851,4116699437.4041,4685733115.46841,5567405605.27555,5800774707.17423,6728771318.57555,8498560877.09175,10157553968.254,11222953328.6704,12864610865.2428,15778767389.7831,19112739364.8892,17613836494.0692,17176781065.8902,18644723860.9709,17221192487.0296,18172335776.3301,18560861397.5577,16219819343.5214,16914287593.2899,18079076426.8667,20177422311.0773,20201323282.5451,19955120004.6604,22571512867.2816
BLR,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.0,18000000000.0,17037037037.037,16280991735.5372,14932024169.1843,13972676840.918,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,61489588894.8211,68218816484.1226
BLZ,Belize,28071888.5622288,29964370.7125857,31856922.8615428,33749405.0118998,36193826.1234775,40069930.0699301,44405594.4055944,47379310.3448276,44910179.6407186,47305389.2215569,53233532.9341317,59207317.0731707,66062500.0,78343558.2822086,103216374.269006,118066298.342541,96905829.5964126,117650000.0,136300000.0,151800000.0,197938222.43,196089854.655,182206326.985,192103185.955,214381949.02,212643742.665,231638320.535,281082558.585,320093360.27,369133890.705,412086445.49,444720750.0,518559700.0,560205300.0,581269550.0,620422500.0,641660000.0,654582900.0,689140000.0,732732350.0,832072450.0,871590369.32848,932292858.88771,990727709.549365,1057653620.03465,1111453823.62023,1211148304.51368,1283112549.99844,1352588867.72777,1320605471.63149,1387925188.49004,1466822039.4102,1531348953.18392,1581844936.42351,1676406801.54095,1734320479.1395,1796928936.71505,1844906692.53913,1887465218.48204,1945250235.57603,1585631670.3461,1789923264.03
BOL,Bolivia,373879363.595386,406684585.719294,444665186.397102,478805990.083307,539491477.320156,604377104.377104,669191919.191919,755808080.808081,857912457.912458,929629629.62963,1017003367.00337,1095622895.6229,1257615644.97932,1262968515.74213,2100249875.06247,2404697651.17441,2731984007.996,3227436281.85907,3758220889.55522,4421343606.18135,4537487802.50257,5891606684.88829,5594118407.02972,5422656265.83789,6169481549.36239,5377276656.9045,3959379399.62852,4347956337.83337,4597615622.48273,4715978693.56097,4867582597.52327,5343274395.35273,5643893347.00679,5734676631.26304,5981244865.27432,6715220486.21961,7396966618.05857,7925673467.44571,8497545543.63805,8285075837.86388,8397912525.26886,8141537877.06791,7905485146.44351,8082364816.16879,8773451751.5121,9549077918.69677,11451869202.1569,13120183207.6625,16674324661.8681,17339992193.7322,19649631308.1648,23963033429.4364,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40408208523.8784
BRA,Brazil,17030465539.3906,17275940449.3837,19231747851.5332,23287712878.2002,20963733694.9749,22465522884.0988,28283323733.1114,31086389194.961,33930457425.2613,37171640818.5863,42327664793.6934,48869830901.7878,58434858374.8696,83592275862.9982,109794519727.538,129203555238.827,153168949208.207,176344101401.941,200278646123.581,221338204480.222,237393489892.637,258015174748.648,271314113768.417,189656506321.431,188339974086.58,176123719326.593,215878631802.78,237517984427.806,258816125587.505,347028139590.227,390725626002.866,342609227209.645,328187944300.908,368295777770.079,525369851353.742,769333330368.987,850426433004.077,883206452795.124,863711007325.493,599642075004.471,655448188259.351,559983704094.17,509795270685.19,558233724164.711,669289321944.516,891633826603.377,1107626711406.63,1397114247331.17,1695855391810.9,1666996294372.87,2208838108577.09,2616156606666.62,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1873288158977.23,1448565936739.56,1608981220812.2
BRB,Barbados,,,,,,,,,,,,,,,311809337.473213,402178605.019554,435911268.58968,495097667.929041,552883707.055138,670362452.145379,1012280614.52792,1114204743.20091,1163923830.35847,1236016506.73694,1346890071.09829,1409536120.91682,1547755183.21484,1704370307.76115,1812757917.76463,2006165166.80754,2012131457.26644,2020583702.08323,1957000000.0,2063342117.03873,2151344901.30761,2216974096.35559,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450802.54938,4674007452.49163,4784925079.03312,4465657314.64407,4529928302.16747,4657699461.45637,4610095997.77104,4677248301.89959,4696344341.64326,4724691212.50593,4832811755.56467,4981588899.82409,5097283213.13965,5304164323.2532,4689534961.75956,4900800000.0
BRN,Brunei Darussalam,,,,,,114040245.655299,132758395.400497,139030445.576898,160819286.554292,161211289.690318,179080099.307461,197523179.241883,270818555.823521,433092003.579273,1073577085.64159,1168304305.65513,1423061356.64562,1732721160.94122,1941600703.60598,2803780005.51826,4928824957.96749,4366213849.57637,4264252336.4486,3844723142.45149,3782523088.4628,3523612563.06532,2358592817.12134,2754463437.79677,2690717551.18267,2985467979.28524,3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000.0,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825769.5087,14006569575.68
BTN,Bhutan,,,,,,,,,,,,,,,,,,,,,128717410.916031,139150441.30485,141366534.471459,156687192.069307,160459970.536972,163272314.834276,191230747.105472,242770861.58179,272241005.229885,264725206.950092,287658184.003427,240319995.602463,240215763.888889,225998091.177435,258985597.704814,290464801.110083,303435517.922664,352260952.905536,363452787.203102,399268801.672085,424464089.897641,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657069.05537,2315436303.29988,
BWA,Botswana,30412308.9864012,32902336.644746,35643207.6265246,38091150.566196,41613969.0506064,45790869.7473126,51464435.1464435,58646443.5146444,66248256.6248257,77356914.0788191,96245114.4611949,127456485.120719,164466873.706004,244129088.027662,306033848.417954,355172413.793103,372010119.595216,451603325.415677,590376720.598889,819877300.613497,1060923829.13021,1073861599.13948,1014907254.54016,1172258182.14969,1240796364.75662,1114764007.14811,1392634771.9653,1965274882.36345,2644536804.11244,3083800684.89751,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9918907108.09702,10137883299.3156,10939053365.4786,10945070441.9283,10267133177.7334,12786654498.3514,15351972361.1477,14380004175.1194,14901750991.2012,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16695925027.1944,14930072799.0084,17613846472.9916
CAF,Central African Republic,112155598.949571,123134584.467673,124482748.937917,129379097.888958,142025069.461676,150574816.300764,157930041.875883,163820538.867947,191767436.956884,188039191.323608,189106554.521277,201450768.367553,230317908.038643,271183061.359635,281398668.160613,378660016.265936,451152449.984411,507298120.68315,610578523.761178,700764892.704831,797048028.773247,694803502.722356,748312283.726758,658679394.907969,637820620.670195,864849765.059664,1122265026.38274,1200991825.95398,1264899368.20165,1233930277.04922,1440711395.67069,1377375030.52921,1411917558.45855,1278781166.72188,851174350.649409,1115389731.79119,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,916777282.651168,932648604.420575,996068145.608021,1142315522.1989,1272360516.62022,1337894379.62649,1461859762.62791,1699811293.2576,1993407886.56402,2067381663.75378,2142591375.85053,2437982839.63072,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349974.15272,2220978978.17342,2221301400.72468,2326720920.59223,2516498299.01212
CAN,Canada,40461721692.6468,40934952063.9468,42227447631.9159,45029988561.2124,49377522896.703,54515179580.7148,61088384036.6515,65668655501.1254,71829810519.8955,79148411661.6902,87896095320.1263,99271961774.6088,113082820486.918,131321858814.119,160408697341.513,173834029689.343,206575564908.722,211612157028.679,218632867537.477,243072102612.259,273853826548.067,306214863624.99,313506525087.136,340547711781.889,355372558103.621,364756499450.751,377437927311.983,431316742081.448,507354351182.254,565055743243.243,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,654986999855.554,634000000000.0,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,1990761609665.23
CHE,Switzerland,9522746719.21614,10712712465.0522,11879982758.5619,13063643795.7884,14480556571.5476,15346741669.7575,16480058704.8531,17740013179.26,18942729779.1,20524886616.4789,,,,,,,,,,,122660905890.076,112339195092.149,115140108850.909,114730757467.486,109547355832.66,111073640470.473,159223703930.18,199403912956.009,215721878630.493,208280848462.62,265987061618.198,269127820781.032,280156819798.037,272466458446.129,301628489434.818,353132515010.571,340471241909.385,295121356714.67,303882354117.809,298520480628.412,279841151705.353,287226531168.523,310175772488.13,363063293977.872,405531321270.607,420544947799.55,443801905407.561,493537376707.764,570304197211.707,558199868578.256,603434493402.679,722038242134.62,692109693986.886,712748124222.61,734396591036.932,702149580770.901,695600652899.283,704478516963.855,735539301552.674,731767398052.879,752248045730.11,812866928867.47
CHL,Chile,4110000000.0,4609727272.72727,5416272727.27273,5668187500.0,5982347826.08696,6026593750.0,7072641025.64103,7013196078.43137,7167086956.52174,8377093023.25581,9126309734.51328,10884114754.0984,11853817307.6923,16836261173.1844,16210404183.5358,7622217352.34216,10341925249.0421,13962893421.5413,15989933708.1491,21803696985.2349,29036709871.7949,34509878043.5897,25325893205.657,20355959237.2128,19622527479.6913,17702885393.5099,18891048818.7425,22255407684.6999,26040229793.0697,29885685142.9107,33113887818.957,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78574385335.5811,85728899954.449,81995304456.1038,75596103237.1555,78249883995.6255,71517080040.6338,70294892400.0639,76507577234.5965,99079230169.6389,122314960843.922,153840051814.059,172565850839.158,179663403196.985,171412642047.328,217105420016.533,251224856981.294,267175872540.066,277239461340.404,259405202008.001,242496649874.236,249298719723.108,276364933679.626,295402652037.155,278584733103.01,252727193710.018,317058508651.76
